orgid,ein,charity_name,category,city,state,efficiency_rating_star,affiliate_payments,admin_expense,total_revenue,program_expense,other_revenue,capacity_rating,program_expense_percent,primary_revenue_growth,fund_efficiency,cause,tag_line,overall_rating,website,total_functional_expense,leader_comp,program_expense_growth,net_assets,efficiency_rating,leader_comp_percent,capacity_rating_star,budget_surplus,admin_expense_percent,fund_expense,primary_revenue,url,fund_expense_percent,email,working_capital_ratio,overall_rating_star
10825,23-7064937,Acterra,Environment,Palo Alto,CA,4,0,68650,1729922,1830766,-176726,25.00,89.6,14.7,0.08,Environmental Protection and Conservation,Action for a healthy planet,63.96,http://www.acterra.org,2041932,74685,28.9,984453,38.96,3.65,4,-312010,3.3,142516,1906648,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10825,6.9,membership@acterra.org,0.48,4
3212,13-3327220,Action Against Hunger | ACF-USA,International,New York,NY,4,0,4398162,40611321,29913873,388902,27.50,84.8,15.8,0.02,Development and Relief Services,Providing innovative solutions to world hunger,65.98,http://www.actionagainsthunger.org,35250825,211284,16.9,21126802,38.48,0.59,4,5360496,12.4,938790,40222419,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3212,2.6,info@actionagainsthunger.org,0.59,4
11020,47-0902020,Action for Healthy Kids,Human Services,Skokie,IL,4,0,267032,3911168,3439127,4586,27.50,89.0,7.2,0.04,"Youth Development, Shelter, and Crisis Services","Fostering sound nutrition and good physical activity in children, youth, and schools",66.40,http://www.actionforhealthykids.org/,3863110,138386,13.4,2722238,38.90,3.58,4,48058,6.9,156951,3906582,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11020,4.0,info@actionforhealthykids.org,0.70,4
7153,54-0897679,Action in Community Through Service,Human Services,Dumfries,VA,2,0,213881,4227681,3476906,29246,11.98,79.6,0.7,0.20,Social Services,People helping people,39.95,,4362809,70000,-2.6,3412703,27.96,1.60,1,-135128,4.9,672022,4198435,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7153,15.4,,0.77,1
8247,13-2603590,Action on Smoking and Health,Health,Washington,DC,4,0,362256,3591180,3300457,126548,30.00,85.6,37.1,0.05,Treatment and Prevention Services,Everything for people concerned about smoking and nonsmokers' rights,68.56,http://www.ash.org,3855092,226500,44.9,7302702,38.56,5.87,4,-263912,9.3,192379,3464632,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8247,4.9,ashlegal@cs.net,1.23,4
8757,52-2277575,ActionAid International USA,International,Washington,DC,3,0,537990,4817056,6631198,27486,27.50,83.6,36.1,0.15,Development and Relief Services,Working with poor and marginalized people to eradicate poverty,63.36,http://www.actionaidusa.org/,7930190,95000,72.5,5342550,35.86,1.19,4,-3113134,6.7,761002,4789570,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8757,9.5,nfo@actionaid.org,0.67,4
10184,33-0857142,Activated Ministries,Religion,Escondido,CA,0,0,238216,4390801,1867689,206642,25.00,43.5,49.1,0.52,Religious Activities,Sharing God's word with others,41.85,http://www.activatedministries.org,4292144,49200,43.4,1307614,16.85,1.14,4,98657,5.5,2186239,4184159,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10184,50.9,info@actmin.org,0.30,2
6986,38-2926822,Acton Institute for the Study of Religion and Liberty,Public Benefit,Grand Rapids,MI,4,0,399341,6238374,4509271,179348,27.50,83.9,18.1,0.07,Advocacy and Civil Rights,Promoting a free and virtuous society,65.89,http://www.acton.org/,5372926,159260,12.3,4993597,38.39,2.96,4,865448,7.4,464314,6059026,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6986,8.6,info@acton.org,0.92,4
6457,95-2783139,Actors and Others for Animals,Animals,North Hollywood,CA,4,0,38947,995197,587716,143136,26.22,90.0,15.8,0.03,"Animal Rights, Welfare, and Services",We care,65.22,http://www.actorsandothers.com/,652564,,6.2,1884527,39.00,,4,342633,5.9,25901,852061,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6457,3.9,actorsandothers@sbcglobal.net,2.02,4
5994,13-1635251,The Actors Fund,"Arts, Culture, Humanities",New York,NY,3,0,1151308,26168866,22349624,1378255,26.83,87.2,8.4,0.16,Performing Arts,For everyone in entertainment,63.06,http://www.actorsfund.org/,25614050,284940,9.3,33847950,36.22,1.11,4,554816,4.4,2113118,24790611,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5994,8.2,info@actorsfund.org,0.92,4
8693,61-0645030,Actors Theatre of Louisville,"Arts, Culture, Humanities",Louisville,KY,3,0,1434021,7242589,8018699,615398,18.01,81.5,-13.8,0.13,Performing Arts,Experience the power of live theatre,53.66,http://www.actorstheatre.org/,9833170,148955,7.7,25278097,35.65,1.51,3,-2590581,14.5,380450,6627191,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8693,3.8,info@actorstheatre.org,2.03,3
11774,13-4166228,Acumen Fund,International,New York,NY,2,0,1227484,24306323,5287795,-1590665,30.00,72.7,25.0,0.02,Development and Relief Services,Building transformative businesses to solve the problems of poverty,62.27,http://www.acumenfund.org/,7264784,260000,33.4,87965276,32.27,3.57,4,17041539,16.8,749505,25896988,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11774,10.3,sdichter@acumenfund.org,12.10,4
9997,14-1594386,The Adirondack Council,Environment,Elizabethtown,NY,4,0,179030,1582958,1231189,128320,17.06,82.8,-0.3,0.05,Environmental Protection and Conservation,Defending the East's greatest wilderness,55.32,http://www.adirondackcouncil.org,1485982,152488,3.7,2914402,38.25,10.26,2,96976,12.0,75763,1454638,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9997,5.0,info@adirondackcouncil.org,1.92,3
5018,13-5635801,Adirondack Museum,"Arts, Culture, Humanities",Blue Mountain Lake,NY,2,0,513706,4224391,3621086,2052080,20.00,81.1,7.2,0.25,Museums,History is in our nature,51.18,http://www.adkmuseum.org,4460463,141469,-2.4,47501681,31.18,3.17,3,-236072,11.5,325671,2172311,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5018,7.3,info@adirondackmuseum.org,4.74,3
3213,36-6210902,Adler Planetarium & Astronomy Museum,"Arts, Culture, Humanities",Chicago,IL,2,0,2752135,18695060,12400112,1043282,20.97,70.9,18.1,0.17,Museums,Inspiring the next generation of explorers,53.07,http://www.adlerplanetarium.org,17468283,371454,2.5,29501018,32.09,2.12,3,1226777,15.7,2316036,17651778,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3213,13.2,supportadler@adlerplanetarium.org,1.57,3
10444,74-1492692,Admiral Nimitz Foundation,"Arts, Culture, Humanities",Fredericksburg,TX,4,0,872530,14744641,14137768,297736,22.50,92.6,60.8,0.01,Museums,Supporting the mission of the National Museum of the Pacific War,61.76,http://www.nimitzfoundation.org/,15257228,26615,78.6,4506050,39.26,0.17,4,-512587,5.7,246930,14446905,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10444,1.6,kaderli@nimitz-museum.com,0.24,4
10404,87-0490211,Adopt-A-Native-Elder Program,Human Services,Park City,UT,4,0,89196,883612,731550,-17741,27.50,84.3,15.7,0.05,Social Services,Creating a bridge of hope between Native Americans and other cultures,65.93,http://www.anelder.org,867316,54250,12.4,556852,38.43,6.25,4,16296,10.2,46570,901353,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10404,5.3,mail@anelder.org,0.64,4
11927,65-0828272,Adopt-A-Classroom,Education,Miami,FL,4,0,178728,2610783,2416602,7720,25.00,92.5,16.4,0.00,Other Education Programs and Services,"Helping communities, helping schools",64.25,http://www.adoptaclassroom.org,2610330,107642,51.6,1617132,39.25,4.12,4,453,6.8,15000,2603063,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11927,0.5,info@adoptaclassroom.org,0.47,4
10645,59-2471253,Adopt-A-Family,Human Services,Lake Worth,FL,4,0,268228,3448650,2652361,393513,24.87,84.9,5.2,0.07,Homeless Services,Helping Palm Beach County families become self-sufficient,63.37,http://www.adoptafamilypbc.org,3121935,113649,5.9,4891871,38.49,3.64,4,326715,8.5,201346,3055137,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10645,6.4,klanier@adoptafamilypbc.org,1.56,4
11174,74-2918904,AdoptaPlatoon,Human Services,Lozano,TX,0,0,353848,7556252,2180299,55062,25.00,32.0,56.3,0.57,Social Services,Supporting deployed soldiers since 1998,25.00,http://adoptaplatoon.org/site/,6812137,48123,118.9,2208122,0.00,0.70,4,744115,5.1,4277990,7501190,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11174,62.7,info@adoptaplatoon.org,0.32,1
10221,84-0793576,The Adoption Exchange,Human Services,Aurora,CO,3,0,311819,3848522,3451765,190230,7.48,80.6,-6.2,0.19,Children's and Family Services,Connecting children and families since 1983,40.10,http://www.adoptex.org,4281143,115000,2.4,1102225,32.62,2.68,1,-432621,7.2,517559,3658292,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10221,12.0,info@adoptex.org,0.25,2
8078,52-1314847,ADRA,International,Silver Spring,MD,4,0,5884974,56661360,51467521,587231,5.00,87.3,-14.7,0.02,Development and Relief Services,Creating just and positive change through empowering partnerships and responsible action,43.73,http://www.adra.org/,58952717,93169,-15.1,27139629,38.73,0.15,1,-2291357,9.9,1600222,56074129,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8078,2.7,planned.gifts@adra.org,0.46,2
3216,75-2402759,Advancing Native Missions,Religion,Charlottesville,VA,4,0,680174,7377423,6893226,22589,22.86,88.5,5.0,0.02,Religious Activities,Helping to take the Gospel of Jesus Christ to the world's remaining unreached and unevangelized peoples,61.46,http://www.adnamis.org,7787386,36593,4.7,1980855,38.60,0.46,4,-409963,8.7,213986,7354834,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3216,2.7,requests@adnamis.org,0.25,4
5299,38-2635531,Adventist Frontier Missions,Religion,Berrien Springs,MI,2,0,787128,4379259,2612557,361225,15.70,65.3,-1.6,0.14,Religious Activities,Reaching the unreached,44.74,http://www.afmonline.org,3997936,68084,-0.7,5452093,29.03,1.70,2,381323,19.6,598251,4018034,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5299,14.9,afm@afmonline.org,1.36,2
6991,38-3256028,Adventist Southeast Asia Projects,Religion,Berrien Springs,MI,4,0,181958,1753039,1784298,2664,25.00,85.7,12.6,0.06,Religious Activities,Christ is coming ASAP,63.57,http://www.asapministries.org/,2080044,46277,25.9,342912,38.57,2.22,4,-327005,8.7,113788,1750375,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6991,5.4,office@asapministries.org,0.16,4
6574,43-0798771,Adventure Unlimited,Human Services,Greenwood Village,CO,3,0,459594,3357749,3262144,-214547,25.78,79.3,2.4,0.18,"Youth Development, Shelter, and Crisis Services",Opening windows to God,61.21,http://www.adventureunlimited.org/,4110446,123512,9.6,10024638,35.43,3.00,4,-752697,11.1,388708,3572296,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6574,9.4,audbcommunity@adventureunlimited.org,1.38,4
10426,11-2247307,Advocates for Children of New York,Public Benefit,New York,NY,4,0,221905,4371919,3501375,173830,27.50,87.1,17.0,0.09,Advocacy and Civil Rights,Promoting access to the best education New York can provide for all students,66.21,http://www.advocatesforchildren.org,4016120,134198,11.8,2905721,38.71,3.34,4,355799,5.5,292840,4198089,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10426,7.2,info@advocatesforchildren.org,0.72,4
5261,36-3292374,The Advocates for Human Rights,International,Minneapolis,MN,4,0,116456,5676480,5441295,64819,22.50,96.8,90.8,0.01,"International Peace, Security, and Affairs",Promoting and protecting internationally recognized human rights,62.17,http://www.mnadvocates.org,5617973,79339,68.1,555597,39.67,1.41,4,58507,2.0,60222,5611661,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5261,1.0,hrights@advrights.org,0.09,4
5408,52-1173590,Advocates for Youth,Health,Washington,DC,3,0,675610,3399402,3923223,20818,17.50,79.0,-5.8,0.10,Treatment and Prevention Services,Rights. Respect. Responsibility.,52.90,http://www.advocatesforyouth.org,4962913,168102,12.2,4534967,35.40,3.38,3,-1563511,13.6,364080,3378584,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5408,7.3,information@advocatesforyouth.org,0.91,3
6263,54-1646669,Advocates International,Public Benefit,Springfield,VA,4,0,54205,840598,670401,8397,12.34,86.2,5.2,0.06,Advocacy and Civil Rights,Doing justice with compassion,50.22,http://www.advocatesinternational.org,777104,97307,3.4,-35559,37.88,12.52,1,63494,6.9,52498,832201,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6263,6.7,info@advocatesinternational.org,-0.04,3
